id,establecimiento,tipo,calle,altura,piso_dpto,cruce,barrio_localidad,ciudad,partido_comuna,provincia_region,pais,aprobado,observacion,formattedaddress,latitude,longitude,habilitado,confidence,condones,prueba,mac,ile,dc,ssr,es_rapido,tel_distrib,mail_distrib,horario_distrib,responsable_distrib,web_distrib,ubicacion_distrib,comentarios_distrib,tel_testeo,mail_testeo,horario_testeo,responsable_testeo,web_testeo,ubicacion_testeo,observaciones_testeo,tel_mac,mail_mac,horario_mac,responsable_mac,web_mac,ubicacion_mac,comentarios_mac,tel_ile,mail_ile,horario_ile,responsable_ile,web_ile,ubicacion_ile,comentarios_ile,tel_dc,mail_dc,horario_dc,responsable_dc,web_dc,ubicacion_dc,comentarios_dc,tel_ssr,mail_ssr,horario_ssr,responsable_ssr,web_ssr,ubicacion_ssr,comentarios_ssr,servicetype_condones,servicetype_prueba,servicetype_mac,servicetype_ile,servicetype_dc,servicetype_ssr,friendly_condones,friendly_prueba,friendly_mac,friendly_ile,friendly_dc,friendly_ssr
249,Neogenesis,"Public hospital",,,,,Almagro,Almagro,"Comuna 5","Buenos Aires",Argentina,0,,,,,,,SI,NO,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO
250,"Luis alberto Centro de Atencion","Public health center",,,,,"Buenos Aires","Buenos Aires","Buenos Aires","Buenos Aires",Argentina,0,,,,,,,SI,NO,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO
4,FPRP,"Member Association IPPF/WHR","Avenida Milo Croes  ",17B,,,Oranjestad,Oranjestad,Oranjestad,Oranjestad,Aruba,1,,,12.510971,-70.020079,1,,NO,NO,NO,NO,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"011 297 588 9590/1",famiaplanea@hotmail.com,,,http://caribbeanfamilyplanning.com/where-we-work/aruba/,,,,,,,,,SI,SI,SI,SI,SI,SI
5,"BFPA - Clype Gollop Health Center","Member Association IPPF/WHR","Bay Street",,,,Bridgetown,Bridgetown,"St. Michael","St. Michael",Barbados,1,,,13.087901,-59.60891,1,,SI,SI,SI,SI,SI,SI,SI,"1 246 426 2027",info@bfpaonline.com,,,https://www.facebook.com/BarbadosFamilyPlanningAssociation/,,,"1 246 426 2027",info@bfpaonline.com,,,https://www.facebook.com/BarbadosFamilyPlanningAssociation/,,"Testing for HIV and other STI","1 246 426 2027",info@bfpaonline.com,,,https://www.facebook.com/BarbadosFamilyPlanningAssociation/,,,"1 246 426 2027",info@bfpaonline.com,,,https://www.facebook.com/BarbadosFamilyPlanningAssociation/,,,"1 246 426 2027",info@bfpaonline.com,,,https://www.facebook.com/BarbadosFamilyPlanningAssociation/,,"Cervical cancer screening ","1 246 426 2027",info@bfpaonline.com,,,https://www.facebook.com/BarbadosFamilyPlanningAssociation/,,,,,,,,,SI,SI,SI,SI,SI,SI
6,"BFLA - Belize City","Member Association IPPF/WHR","2621 Mercy Lane",,,,"Belize City","Belize City","Belize City",Belize,Belize,1,,,17.506747,-88.19842,1,,SI,SI,SI,SI,SI,SI,SI,"203 1018/4399",,"Monday-Friday 8 a.m. - 4 p.m.",,http://www.bflabelize.org/,,,"203 1018/4399",,"Monday-Friday 8 a.m. - 4 p.m.",,http://www.bflabelize.org/,,"Testing for HIV and other STI","203 1018/4399",,"Monday-Friday 8 a.m. - 4 p.m.",,http://www.bflabelize.org/,,,"203 1018/4399",,"Monday-Friday 8 a.m. - 4 p.m.",,http://www.bflabelize.org/,,,"203 1018/4399",,"Monday-Friday 8 a.m. - 4 p.m.",,http://www.bflabelize.org/,,"Cervical cancer screening ","203 1018/4399",,"Monday-Friday 8 a.m. - 4 p.m.",,http://www.bflabelize.org/,,,,,,,,,SI,SI,SI,SI,SI,SI
7,"BFLA - Belmopan","Member Association IPPF/WHR","Western Regional Hospital Compound",,,,Belmopan,Belmopan,Belmopan,Cayo,Belize,1,,,17.2510114,-88.7590201,1,,SI,SI,SI,NO,SI,SI,SI,"636 0274",,"Tuesday, Wednesday 9 a.m. - 4 p.m.",,http://www.bflabelize.org/,,,"636 0274",,"Tuesday, Wednesday 9 a.m. - 4 p.m.",,http://www.bflabelize.org/,,"Testing for HIV and other STI","636 0274",,"Tuesday, Wednesday 9 a.m. - 4 p.m.",,http://www.bflabelize.org/,,,,,,,,,,"636 0274",,"Tuesday, Wednesday 9 a.m. - 4 p.m.",,http://www.bflabelize.org/,,"Cervical cancer screening ","636 0274",,"Tuesday, Wednesday 9 a.m. - 4 p.m.",,http://www.bflabelize.org/,,,,,,,,,SI,SI,SI,SI,SI,SI
8,"BFLA - Dangriga","Member Association IPPF/WHR","Stanly Drive",,,"Ramos Road",Dangriga,Dangriga,Dangriga,"Stann Creek",Belize,1,,,16.9694404,-88.2238817,1,,SI,SI,SI,NO,SI,SI,SI,"502 2280",,"Monday-Friday 8 a.m. - 4 p.m.",,http://www.bflabelize.org/,,,"502 2280",,"Monday-Friday 8 a.m. - 4 p.m.",,http://www.bflabelize.org/,,"Testing for HIV and other STI","502 2280",,"Monday-Friday 8 a.m. - 4 p.m.",,http://www.bflabelize.org/,,,,,,,,,,"502 2280",,"Monday-Friday 8 a.m. - 4 p.m.",,http://www.bflabelize.org/,,"Cervical cancer screening ","502 2280",,"Monday-Friday 8 a.m. - 4 p.m.",,http://www.bflabelize.org/,,,,,,,,,SI,SI,SI,SI,SI,SI
9,"BFLA - NHI Clinic","Member Association IPPF/WHR","Central American Boulevard",,,"Mahogany Street","Belize City","Belize City","Belize City",Belize,Belize,1,,,17.500298,-88.198891,1,,NO,SI,SI,NO,SI,SI,SI,"202 5881/5976",,"Monday-Friday 8 a.m. - 8 p.m.",,http://www.bflabelize.org/,,,"202 5881/5976",,"Monday-Friday 8 a.m. - 8 p.m.",,http://www.bflabelize.org/,,"Testing for HIV and other STI","202 5881/5976",,"Monday-Friday 8 a.m. - 8 p.m.",,http://www.bflabelize.org/,,,,,,,,,,"202 5881/5976",,"Monday-Friday 8 a.m. - 8 p.m.",,http://www.bflabelize.org/,,"Cervical cancer screening ","202 5881/5976",,"Monday-Friday 8 a.m. - 8 p.m.",,http://www.bflabelize.org/,,,,,,,,,SI,SI,SI,SI,SI,SI
10,"BFLA - San Ignacio","Member Association IPPF/WHR","Church Street",,,,"San Ignacio","San Ignacio","San Ignacio",Cayo,Belize,1,,,17.1565,-89.07127,1,,SI,SI,SI,NO,SI,SI,SI,"824 2648",,"Mon, Wed, Friday 8 a.m. - 4 p.m.",,http://www.bflabelize.org/,,,"824 2648",,"Mon, Wed, Friday 8 a.m. - 4 p.m.",,http://www.bflabelize.org/,,"Testing for HIV and other STI","824 2648",,"Mon, Wed, Friday 8 a.m. - 4 p.m.",,http://www.bflabelize.org/,,,,,,,,,,"824 2648",,"Mon, Wed, Friday 8 a.m. - 4 p.m.",,http://www.bflabelize.org/,,"Cervical cancer screening ","824 2648",,"Mon, Wed, Friday 8 a.m. - 4 p.m.",,http://www.bflabelize.org/,,,,,,,,,SI,SI,SI,SI,SI,SI
11,"BFLA - Orange Walk","Member Association IPPF/WHR","Northern Regional Hospital Compound",,,,"Orange Walk","Orange Walk","Orange Walk",Belize,Belize,1,,,18.09403,-88.56273,1,,SI,SI,SI,NO,SI,SI,SI,"302 3481",,"Monday-Friday 8 a.m. - 4 p.m.",,http://www.bflabelize.org/,,,"302 3481",,"Monday-Friday 8 a.m. - 4 p.m.",,http://www.bflabelize.org/,,"Testing for HIV and other STI","302 3481",,"Monday-Friday 8 a.m. - 4 p.m.",,http://www.bflabelize.org/,,,,,,,,,,"302 3481",,"Monday-Friday 8 a.m. - 4 p.m.",,http://www.bflabelize.org/,,"Cervical cancer screening ","302 3481",,"Monday-Friday 8 a.m. - 4 p.m.",,http://www.bflabelize.org/,,,,,,,,,SI,SI,SI,SI,SI,SI
12,"CIES - Clínica Modelo en Salud Sexual y Salud Reproductiva","Asociación Miembro IPPF/WHR","Calle Colombia",539,"Entre Boquerón y Zoilo Flores",,"La Paz","La Paz","La Paz","La Paz",Bolivia,1,,,-16.503863,-68.13743,1,,SI,SI,SI,SI,SI,SI,NO,"02 2485111 - 2483351",cieslapaz@cies.org.bo,"Lunes a Viernes 7 a 19 hs. / Sábados 9.30 a 13 hs. / Emergencias 24 hs",,http://www.cies.org.bo/,,,"02 2485111 - 2483351",cieslapaz@cies.org.bo,"Lunes a Viernes 7 a 19 hs. / Sábados 9.30 a 13 hs. / Emergencias 24 hs",,http://www.cies.org.bo/,,"Realización de pruebas de VIH y otras ITS","02 2485111 - 2483351",cieslapaz@cies.org.bo,"Lunes a Viernes 7 a 19 hs. / Sábados 9.30 a 13 hs. / Emergencias 24 hs",,http://www.cies.org.bo/,,,"02 2485111 - 2483351",cieslapaz@cies.org.bo,"Lunes a Viernes 7 a 19 hs. / Sábados 9.30 a 13 hs. / Emergencias 24 hs",,http://www.cies.org.bo/,,,"02 2485111 - 2483351",cieslapaz@cies.org.bo,"Lunes a Viernes 7 a 19 hs. / Sábados 9.30 a 13 hs. / Emergencias 24 hs",,http://www.cies.org.bo/,,"Detección de cáncer de cuello uterino y cáncer de mamas","02 2485111 - 2483351",cieslapaz@cies.org.bo,"Lunes a Viernes 7 a 19 hs. / Sábados 9.30 a 13 hs. / Emergencias 24 hs",,http://www.cies.org.bo/,,,,,,,,,SI,SI,SI,SI,SI,SI
13,"CIES - Policonsultorio Villa Fátima","Asociación Miembro IPPF/WHR","Avenida Las Américas",393,,,"La Paz","La Paz","La Paz","La Paz",Bolivia,1,,,-16.49324,-68.14041,1,,SI,SI,SI,NO,SI,SI,NO,"02 2216061",cieslapaz@cies.org.bo,"Lunes a Viernes 8.30 a 18.30 hs. / Sábados 9.30 a 13 hs.",,http://www.cies.org.bo/,,,"02 2216061",cieslapaz@cies.org.bo,"Lunes a Viernes 8.30 a 18.30 hs. / Sábados 9.30 a 13 hs.",,http://www.cies.org.bo/,,"Realización de pruebas de VIH y otras ITS","02 2216061",cieslapaz@cies.org.bo,"Lunes a Viernes 8.30 a 18.30 hs. / Sábados 9.30 a 13 hs.",,http://www.cies.org.bo/,,,"02 2216061",cieslapaz@cies.org.bo,"Lunes a Viernes 8.30 a 18.30 hs. / Sábados 9.30 a 13 hs.",,http://www.cies.org.bo/,,,"02 2216061",cieslapaz@cies.org.bo,"Lunes a Viernes 8.30 a 18.30 hs. / Sábados 9.30 a 13 hs.",,http://www.cies.org.bo/,,"Detección de cáncer de cuello uterino y cáncer de mamas","02 2216061",cieslapaz@cies.org.bo,"Lunes a Viernes 8.30 a 18.30 hs. / Sábados 9.30 a 13 hs.",,http://www.cies.org.bo/,,,,,,,,,SI,SI,SI,SI,SI,SI
14,"CIES - Policonsultorio Tumusla","Asociación Miembro IPPF/WHR","Calle Tumusla",481,,,"La Paz","La Paz","La Paz","La Paz",Bolivia,1,,,-16.4944,-68.14123,1,,SI,SI,SI,NO,SI,SI,NO,"02 2454271",cieslapaz@cies.org.bo,"Lunes a Viernes 8.30 a 18.30 hs. / Sábados 9.30 a 13 hs.",,http://www.cies.org.bo/,,,"02 2454271",cieslapaz@cies.org.bo,"Lunes a Viernes 8.30 a 18.30 hs. / Sábados 9.30 a 13 hs.",,http://www.cies.org.bo/,,"Realización de pruebas de VIH y otras ITS","02 2454271",cieslapaz@cies.org.bo,"Lunes a Viernes 8.30 a 18.30 hs. / Sábados 9.30 a 13 hs.",,http://www.cies.org.bo/,,,"02 2454271",cieslapaz@cies.org.bo,"Lunes a Viernes 8.30 a 18.30 hs. / Sábados 9.30 a 13 hs.",,http://www.cies.org.bo/,,,"02 2454271",cieslapaz@cies.org.bo,"Lunes a Viernes 8.30 a 18.30 hs. / Sábados 9.30 a 13 hs.",,http://www.cies.org.bo/,,"Detección de cáncer de cuello uterino y cáncer de mamas","02 2454271",cieslapaz@cies.org.bo,"Lunes a Viernes 8.30 a 18.30 hs. / Sábados 9.30 a 13 hs.",,http://www.cies.org.bo/,,,,,,,,,SI,SI,SI,SI,SI,SI
15,"Clínica CIES Regional El Alto","Asociación Miembro IPPF/WHR","Calle Luis Torrez",388,"Zona 16 de Julio",,"El Alto","El Alto","La Paz","La Paz",Bolivia,1,,,-16.49811,-68.17148,1,,SI,SI,SI,SI,SI,SI,NO,"02 2844709",cieselalto@cies.org.bo,"Lunes a Viernes 7 a 19 hs. / Sábados 9.30 a 13 hs. / Emergencias 24 hs",,http://www.cies.org.bo/,,,"02 2844709",cieselalto@cies.org.bo,"Lunes a Viernes 7 a 19 hs. / Sábados 9.30 a 13 hs. / Emergencias 24 hs",,http://www.cies.org.bo/,,"Realización de pruebas de VIH y otras ITS","02 2844709",cieselalto@cies.org.bo,"Lunes a Viernes 7 a 19 hs. / Sábados 9.30 a 13 hs. / Emergencias 24 hs",,http://www.cies.org.bo/,,,"02 2844709",cieselalto@cies.org.bo,"Lunes a Viernes 7 a 19 hs. / Sábados 9.30 a 13 hs. / Emergencias 24 hs",,http://www.cies.org.bo/,,,"02 2844709",cieselalto@cies.org.bo,"Lunes a Viernes 7 a 19 hs. / Sábados 9.30 a 13 hs. / Emergencias 24 hs",,http://www.cies.org.bo/,,"Detección de cáncer de cuello uterino y cáncer de mamas","02 2844709",cieselalto@cies.org.bo,"Lunes a Viernes 7 a 19 hs. / Sábados 9.30 a 13 hs. / Emergencias 24 hs",,http://www.cies.org.bo/,,,,,,,,,SI,SI,SI,SI,SI,SI
16,"CIES - Policonsultorio 6 de Marzo","Asociación Miembro IPPF/WHR","Avenida 6 de Marzo",,,"Calle 5","El Alto","El Alto","La Paz","La Paz",Bolivia,1,,,-16.50964,-68.16452,1,,SI,SI,SI,NO,SI,SI,NO,"02 2841241",cieselalto@cies.org.bo,"Lunes a Viernes 8.30 a 18.30 hs. / Sábados 9.30 a 13 hs.",,http://www.cies.org.bo/,,,"02 2841241",cieselalto@cies.org.bo,"Lunes a Viernes 8.30 a 18.30 hs. / Sábados 9.30 a 13 hs.",,http://www.cies.org.bo/,,"Realización de pruebas de VIH y otras ITS","02 2841241",cieselalto@cies.org.bo,"Lunes a Viernes 8.30 a 18.30 hs. / Sábados 9.30 a 13 hs.",,http://www.cies.org.bo/,,,"02 2841241",cieselalto@cies.org.bo,"Lunes a Viernes 8.30 a 18.30 hs. / Sábados 9.30 a 13 hs.",,http://www.cies.org.bo/,,,"02 2841241",cieselalto@cies.org.bo,"Lunes a Viernes 8.30 a 18.30 hs. / Sábados 9.30 a 13 hs.",,http://www.cies.org.bo/,,"Detección de cáncer de cuello uterino y cáncer de mamas","02 2841241",cieselalto@cies.org.bo,"Lunes a Viernes 8.30 a 18.30 hs. / Sábados 9.30 a 13 hs.",,http://www.cies.org.bo/,,,,,,,,,SI,SI,SI,SI,SI,SI
17,"CIES - Policonsultorio Juan Pablo II","Asociación Miembro IPPF/WHR","Avenida Juan Pablo II",,,"Calle 3","El Alto","El Alto","La Paz","La Paz",Bolivia,1,,,-16.50245,-68.16617,1,,SI,NO,SI,NO,SI,SI,NO,"02 2918757",cieselalto@cies.org.bo,"Lunes a Viernes 8.30 a 18.30 hs. / Sábados 9.30 a 13 hs.",,http://www.cies.org.bo/,,,,,,,,,,"02 2918757",cieselalto@cies.org.bo,"Lunes a Viernes 8.30 a 18.30 hs. / Sábados 9.30 a 13 hs.",,http://www.cies.org.bo/,,,"02 2918757",cieselalto@cies.org.bo,"Lunes a Viernes 8.30 a 18.30 hs. / Sábados 9.30 a 13 hs.",,http://www.cies.org.bo/,,,"02 2918757",cieselalto@cies.org.bo,"Lunes a Viernes 8.30 a 18.30 hs. / Sábados 9.30 a 13 hs.",,http://www.cies.org.bo/,,"Detección de cáncer de cuello uterino y cáncer de mamas","02 2918757",cieselalto@cies.org.bo,"Lunes a Viernes 8.30 a 18.30 hs. / Sábados 9.30 a 13 hs.",,http://www.cies.org.bo/,,,,,,,,,SI,SI,SI,SI,SI,SI
18,"CIES - Clínica Modelo en Salud Sexual y Salud Reproductiva","Asociación Miembro IPPF/WHR","Calle Bolivar",475,"Entre Mendez y Santa Cruz",,Tarija,Tarija,Tarija,Tarija,Bolivia,1,,,-21.53341,-64.72904,1,,SI,SI,SI,SI,SI,SI,NO,"04 6664673",ciestarija@cies.org.bo,"Lunes a Viernes 7 a 19 hs. / Sábados 9.30 a 13 hs. / Emergencias 24 hs",,http://www.cies.org.bo/,,,"04 6664673",ciestarija@cies.org.bo,"Lunes a Viernes 7 a 19 hs. / Sábados 9.30 a 13 hs. / Emergencias 24 hs",,http://www.cies.org.bo/,,"Realización de pruebas de VIH y otras ITS","04 6664673",ciestarija@cies.org.bo,"Lunes a Viernes 7 a 19 hs. / Sábados 9.30 a 13 hs. / Emergencias 24 hs",,http://www.cies.org.bo/,,,"04 6664673",ciestarija@cies.org.bo,"Lunes a Viernes 7 a 19 hs. / Sábados 9.30 a 13 hs. / Emergencias 24 hs",,http://www.cies.org.bo/,,,"04 6664673",ciestarija@cies.org.bo,"Lunes a Viernes 7 a 19 hs. / Sábados 9.30 a 13 hs. / Emergencias 24 hs",,http://www.cies.org.bo/,,"Detección de cáncer de cuello uterino y cáncer de mamas","04 6664673",ciestarija@cies.org.bo,"Lunes a Viernes 7 a 19 hs. / Sábados 9.30 a 13 hs. / Emergencias 24 hs",,http://www.cies.org.bo/,,,,,,,,,SI,SI,SI,SI,SI,SI
19,"CIES - Policonsultorio Circunvalación","Asociación Miembro IPPF/WHR","Avenida Circunvalación ",,"Frente a Rotonda Avión",,Tarija,Tarija,Tarija,Tarija,Bolivia,1,,,-21.54224,-64.70834,1,,SI,SI,SI,NO,NO,SI,NO,,,,,http://www.cies.org.bo/,,,,,,,http://www.cies.org.bo/,,"Realización de pruebas de ITS",,,,,http://www.cies.org.bo/,,,,,,,,,,,,,,,,,,,,,http://www.cies.org.bo/,,,,,,,,,SI,SI,SI,SI,SI,SI
20,"CIES - Policonsultorio Mercado Campesino","Asociación Miembro IPPF/WHR","Calle Daniel Zamora",1529,"Entre Timoteo Rana y Luis Campero",,Tarija,Tarija,Tarija,Tarija,Bolivia,1,,,-21.52119,-64.73981,1,,SI,SI,SI,NO,SI,SI,SI,"04 6672312",ciestarija@cies.org.bo,"Lunes a Viernes 8.30 a 18.30 hs. / Sábados 9.30 a 12 hs.",,http://www.cies.org.bo/,,,"04 6672312",ciestarija@cies.org.bo,"Lunes a Viernes 8.30 a 18.30 hs. / Sábados 9.30 a 12 hs.",,http://www.cies.org.bo/,,"Realización de pruebas de VIH y otras ITS","04 6672312",ciestarija@cies.org.bo,"Lunes a Viernes 8.30 a 18.30 hs. / Sábados 9.30 a 12 hs.",,http://www.cies.org.bo/,,,"04 6672312",ciestarija@cies.org.bo,"Lunes a Viernes 8.30 a 18.30 hs. / Sábados 9.30 a 12 hs.",,http://www.cies.org.bo/,,,"04 6672312",ciestarija@cies.org.bo,"Lunes a Viernes 8.30 a 18.30 hs. / Sábados 9.30 a 12 hs.",,http://www.cies.org.bo/,,"Detección de cáncer de cuello uterino y cáncer de mamas","04 6672312",ciestarija@cies.org.bo,"Lunes a Viernes 8.30 a 18.30 hs. / Sábados 9.30 a 12 hs.",,http://www.cies.org.bo/,,,,,,,,,SI,SI,SI,SI,SI,SI
21,"Clínica CIES Regional Santa Cruz","Asociación Miembro IPPF/WHR","Avenida Grigota",395,"Frente a La Ramada",,"Santa Cruz de la Sierra","Santa Cruz de la Sierra","Santa Cruz","Santa Cruz",Bolivia,1,,,-17.7961,-63.19014,1,,SI,SI,SI,SI,SI,SI,NO,"03 3513394",ciessantacruz@cies.org.bo,"Lunes a Sábados 7 a 19 hs. / Emergencias 24 hs.",,http://www.cies.org.bo/,,,"03 3513394",ciessantacruz@cies.org.bo,"Lunes a Sábados 7 a 19 hs. / Emergencias 24 hs.",,http://www.cies.org.bo/,,"Realización de pruebas de VIH y otras ITS","03 3513394",ciessantacruz@cies.org.bo,"Lunes a Sábados 7 a 19 hs. / Emergencias 24 hs.",,http://www.cies.org.bo/,,,"03 3513394",ciessantacruz@cies.org.bo,"Lunes a Sábados 7 a 19 hs. / Emergencias 24 hs.",,http://www.cies.org.bo/,,,"03 3513394",ciessantacruz@cies.org.bo,"Lunes a Sábados 7 a 19 hs. / Emergencias 24 hs.",,http://www.cies.org.bo/,,"Detección de cáncer de cuello uterino y cáncer de mamas","03 3513394",ciessantacruz@cies.org.bo,"Lunes a Sábados 7 a 19 hs. / Emergencias 24 hs.",,http://www.cies.org.bo/,,,,,,,,,SI,SI,SI,SI,SI,SI
22,"CIES - Policonsultorio Mutualista","Asociación Miembro IPPF/WHR","Avenida 3er Anillo Interno",,"Entre Av. Mutualista y Av. Alemania",,"Santa Cruz de la Sierra","Santa Cruz de la Sierra","Santa Cruz","Santa Cruz",Bolivia,1,,,-17.76168,-63.16418,1,,SI,SI,SI,NO,SI,SI,NO,"03 3423245",ciessantacruz@cies.org.bo,"Lunes a Viernes 8.30 a 18.30 hs. / Sábados 9.30 a 13 hs.",,http://www.cies.org.bo/,,," 03 3423245",ciessantacruz@cies.org.bo,"Lunes a Viernes 8.30 a 18.30 hs. / Sábados 9.30 a 13 hs.",,http://www.cies.org.bo/,,"Realización de pruebas de VIH y otras ITS"," 03 3423245",ciessantacruz@cies.org.bo,"Lunes a Viernes 8.30 a 18.30 hs. / Sábados 9.30 a 13 hs.",,http://www.cies.org.bo/,,,,,,,,,," 03 3423245",ciessantacruz@cies.org.bo,"Lunes a Viernes 8.30 a 18.30 hs. / Sábados 9.30 a 13 hs.",,http://www.cies.org.bo/,,"Detección de cáncer de cuello uterino y cáncer de mamas","03 3423245",ciessantacruz@cies.org.bo,"Lunes a Viernes 8.30 a 18.30 hs. / Sábados 9.30 a 13 hs.",,http://www.cies.org.bo/,,,,,,,,,SI,SI,SI,SI,SI,SI
